artist,num  >= 6.5,percent >= 6.5,num  >= 6,percent > 6,mean,std,median,min,max,count
Antoine Blanchard,168,0.9882352941,170,1,6.953757395,0.2008865608,6.94024086,6.345681191,7.448756218,170
Edouard Cortes,208,0.9719626168,214,1,7.066687317,0.2560333782,7.093054533,6.026753902,7.543863773,214
Konstantin Makovsky,70,0.2160493827,262,0.8086419753,6.254227855,0.2862427837,6.271180391,5.135105133,6.985123158,324
Ivan Kramskoy,28,0.1818181818,131,0.8506493506,6.261556136,0.283144546,6.293128729,5.476541519,7.049269676,154
Nikolay Bogdanov Belsky,36,0.1818181818,144,0.7272727273,6.180395071,0.3711085317,6.245308876,5.06541872,6.917036057,198
Jacek Malczewski,15,0.1648351648,60,0.6593406593,6.11456423,0.3703862561,6.101675034,5.038964272,6.840770721,91
Gustave Caillebotte,25,0.1373626374,106,0.5824175824,6.089156874,0.3748575713,6.0883708,4.296171665,6.999762535,182
Vasily Perov,24,0.1348314607,87,0.4887640449,5.927645871,0.4780878166,5.98224926,4.650880337,6.804011822,178
Ivan Aivazovsky,70,0.1213171577,394,0.6828422877,6.128837923,0.3272633792,6.155608177,4.739392281,6.893315792,577
Theo Van Rysselberghe,20,0.1183431953,102,0.6035502959,6.080353068,0.3645948667,6.096662521,5.113307953,6.890492439,169
Henri Martin,16,0.1142857143,83,0.5928571429,6.098525119,0.3373605671,6.117320538,5.231966972,6.868069649,140
Giovanni Boldini,24,0.1066666667,121,0.5377777778,5.994255566,0.4232630991,6.020004273,4.871343136,6.930121899,225
John Singer Sargent,82,0.1045918367,486,0.6198979592,6.062918107,0.3834888387,6.10354352,4.415689468,7.3265481,784
Joaquã­N Sorolla,32,0.09552238806,171,0.5104477612,6.015234315,0.3384410352,6.017504692,5.079022884,7.115741253,335
Ilya Repin,48,0.08905380334,306,0.5677179963,6.028742304,0.3794188091,6.070961952,4.825013638,7.012147427,539
Vasily Polenov,19,0.08444444444,107,0.4755555556,5.934216181,0.4297100819,5.968419552,4.705379486,6.849671364,225
Katsushika Hokusai,14,0.08187134503,67,0.3918128655,5.794247655,0.5541871295,5.838095665,4.100548744,6.825510979,171
Ivan Shishkin,39,0.075,227,0.4365384615,5.900535237,0.4311299537,5.944192171,4.48607254,6.962326527,520
Sir Lawrence Alma Tadema,12,0.07228915663,98,0.5903614458,6.031624306,0.3328262939,6.037018776,5.097893715,6.754442692,166
Zinaida Serebriakova,23,0.06990881459,162,0.4924012158,5.984397556,0.3739250419,5.992044449,4.788426876,7.021521092,329
Henri Fantin Latour,6,0.05714285714,37,0.3523809524,5.918986207,0.3643108461,5.912382603,4.341268063,6.830218315,105
William Merritt Chase,20,0.05649717514,173,0.488700565,5.99522846,0.3210761095,5.99272728,5.005571365,7.224266052,354
Vasily Vereshchagin,9,0.05421686747,61,0.3674698795,5.841430469,0.4172717676,5.867776632,4.429860115,6.897642136,166
Aleksey Savrasov,12,0.05217391304,107,0.4652173913,5.93635296,0.3921756534,5.974621058,4.594786167,6.845859528,230
Nicholas Roerich,93,0.05112699285,505,0.2776250687,5.580322446,0.6297618301,5.657360077,3.561443806,6.908043861,1819
Karl Bryullov,7,0.04827586207,72,0.4965517241,5.975254996,0.3742774025,5.996706009,4.864295483,6.591125488,145
Valentin Serov,9,0.04712041885,67,0.3507853403,5.779520502,0.4672904849,5.804447174,4.590955734,6.726200581,191
James Tissot,16,0.04692082111,125,0.366568915,5.807735045,0.4795240417,5.871102333,4.121606827,6.827590466,341
Dante Gabriel Rossetti,6,0.04316546763,74,0.5323741007,5.931988397,0.4467977607,6.031812668,4.512307167,6.91984272,139
Jan Matejko,7,0.04191616766,55,0.3293413174,5.852197659,0.3716028091,5.835799694,4.688673973,6.719199181,167
Konstantin Korovin,10,0.04048582996,88,0.3562753036,5.881701699,0.3844758217,5.90280056,4.416024685,6.808880806,247
Isaac Levitan,16,0.03773584906,151,0.3561320755,5.758468571,0.5269095832,5.844857216,4.179785252,6.951660156,424
Arkhip Kuindzhi,6,0.03726708075,51,0.3167701863,5.800850922,0.391830145,5.787153244,4.497449875,6.77833271,161
Boris Kustodiev,22,0.03475513428,228,0.3601895735,5.776601797,0.4675713565,5.825651646,4.252019405,6.794387341,633
Maxime Maufra,4,0.03361344538,74,0.6218487395,6.080399742,0.2859466102,6.099527359,4.624205113,6.935714722,119
Childe Hassam,18,0.03272727273,250,0.4545454545,5.94881875,0.3177008468,5.95673728,4.841075897,6.928033829,550
Konstantin Somov,6,0.03092783505,63,0.324742268,5.755198825,0.4439433425,5.776425123,4.5020504,6.801871777,194
Ferdinand Hodler,6,0.02941176471,63,0.3088235294,5.609190139,0.6558889431,5.790292263,3.942333221,6.898354054,204
Thomas Eakins,7,0.02916666667,92,0.3833333333,5.67461834,0.6273946061,5.853523731,3.847318649,6.820505619,240
Kuzma Petrov Vodkin,5,0.0243902439,55,0.2682926829,5.681872156,0.4815036576,5.757657528,4.442728519,6.840815544,205
Felix Vallotton,4,0.02366863905,21,0.124260355,5.275179008,0.5466036457,5.198359966,4.255402565,6.80570221,169
Unknown Artist,966,0.02304719187,8406,0.2005535143,5.544374911,0.5343688507,5.591097593,3.325692177,7.20177269,41914
Gustave Loiseau,5,0.01953125,102,0.3984375,5.961676059,0.2112589838,5.955663443,5.269638062,6.724100113,256
Martiros Saryan,11,0.01913043478,151,0.2626086957,5.640916035,0.5070410028,5.714550972,3.547286987,6.727980614,575
Paul Cezanne,11,0.01899827288,187,0.322970639,5.814835182,0.3588875519,5.854703426,4.59931469,6.744729996,579
Orest Kiprensky,4,0.01851851852,83,0.3842592593,5.792270446,0.4636379469,5.853802443,4.3854146,6.781271458,216
Gustave Courbet,4,0.01843317972,75,0.3456221198,5.840130659,0.3598977938,5.846609116,4.648821354,6.757832527,217
Camille Pissarro,16,0.01803833145,404,0.4554678692,5.947682904,0.2773788852,5.962067127,4.774284363,6.732485771,887
Viktor Vasnetsov,2,0.01515151515,39,0.2954545455,5.730290142,0.452197884,5.788994789,4.441460609,6.862324715,132
Edouard Manet,3,0.01428571429,47,0.2238095238,5.777572477,0.3274005966,5.793697834,4.826014519,6.7195611,210
Raphael,2,0.01398601399,43,0.3006993007,5.794948871,0.3601280596,5.847165108,4.732646942,6.760045052,143
Mary Cassatt,4,0.01365187713,110,0.3754266212,5.898749544,0.318069567,5.920696259,4.799632072,6.868968487,293
Edvard Munch,2,0.01333333333,40,0.2666666667,5.78157238,0.3148283739,5.808226585,4.956682205,6.735351563,150
Vasily Surikov,3,0.01260504202,60,0.2521008403,5.743063965,0.398452,5.807048321,3.925767422,6.742599011,238
Edward Burne Jones,1,0.0119047619,26,0.3095238095,5.777695122,0.4242512274,5.839380264,4.535935402,7.037807465,84
Pietro Perugino,2,0.01156069364,36,0.2080924855,5.746624938,0.3100566028,5.745223522,4.962389946,6.610965252,173
Camille Corot,5,0.01096491228,137,0.3004385965,5.840354863,0.282798222,5.85418272,4.764778137,6.643481255,456
Pierre Auguste Renoir,15,0.01071428571,419,0.2992857143,5.83918354,0.3102746048,5.851896286,3.656172752,6.851583481,1400
Joshua Reynolds,2,0.01,60,0.3,5.83480618,0.2829343612,5.841474056,4.760987759,6.528123856,200
Gustav Klimt,1,0.009523809524,20,0.1904761905,5.693527699,0.4244348846,5.768992424,3.941691876,6.587169647,105
Egon Schiele,2,0.008849557522,38,0.1681415929,5.597577724,0.4154047837,5.603933811,4.087733746,6.55934763,226
Pyotr Konchalovsky,8,0.008705114255,166,0.1806311208,5.675011335,0.3842227157,5.716610909,4.30183506,6.603946209,919
Alfred Sisley,4,0.008620689655,126,0.2715517241,5.855302437,0.2491739718,5.861367464,5.009371758,6.650778294,464
Paul Gauguin,3,0.008356545961,101,0.2813370474,5.803719742,0.3209285999,5.825606346,4.404646874,6.524906635,359
Hans Holbein The Younger,1,0.00826446281,36,0.2975206612,5.785597273,0.315282101,5.787929535,5.108496189,6.509264946,121
James Mcneill Whistler,1,0.007462686567,16,0.1194029851,5.608848892,0.3418494377,5.608578444,4.811418533,6.613415241,134
Joseph Wright,1,0.007407407407,27,0.2,5.785839134,0.2818968481,5.79054451,5.129012108,6.569058418,135
Mstislav Dobuzhinsky,1,0.006711409396,37,0.2483221477,5.671166465,0.431728847,5.664669991,4.549827576,6.581539154,149
Henri De Toulouse Lautrec,2,0.006172839506,54,0.1666666667,5.594003407,0.431944276,5.617685795,4.240701199,6.622947693,324
Odilon Redon,1,0.006097560976,18,0.1097560976,5.562696605,0.4176981562,5.56448698,4.110647202,6.768536568,164
Leonardo Da Vinci,1,0.006097560976,4,0.0243902439,5.162610458,0.4833353613,5.207558393,3.575269699,6.580788612,164
Claude Monet,8,0.005997001499,428,0.3208395802,5.867561594,0.2693435991,5.889631748,4.77649498,6.729189873,1334
Lucas Cranach The Elder,1,0.005586592179,47,0.2625698324,5.803633581,0.3108799819,5.791160107,4.910344601,6.660542488,179
Tintoretto,1,0.005347593583,25,0.1336898396,5.679266496,0.3307994772,5.698277473,4.442925453,6.525734901,187
Vincent Van Gogh,10,0.005293806247,263,0.1392271043,5.435571236,0.5148033218,5.474308491,3.585306644,6.751254082,1889
Utagawa Kuniyoshi,1,0.005025125628,40,0.2010050251,5.746431619,0.3103035256,5.768052578,4.828755379,6.567357063,199
Titian,1,0.004901960784,46,0.2254901961,5.729020275,0.3652169234,5.776674747,4.649958134,6.535208702,204
Berthe Morisot,1,0.004444444444,84,0.3733333333,5.898812851,0.2921675188,5.920474052,4.709825516,6.549480438,225
David Burliuk,1,0.004032258065,60,0.2419354839,5.616130685,0.4657006527,5.658583641,4.294730663,6.516641617,248
Albrecht Durer,2,0.002877697842,44,0.06330935252,5.27928515,0.4488710385,5.245546341,3.882222652,6.614483833,695
Henri Matisse,1,0.002409638554,66,0.1590361446,5.626580302,0.3918095688,5.659098625,3.837433815,6.506507397,415
Eugene Boudin,1,0.001801801802,160,0.2882882883,5.852253314,0.262646559,5.865195274,4.99078846,6.509175777,555
Edgar Degas,1,0.001636661211,84,0.1374795417,5.611386817,0.3576949662,5.633645535,4.227432251,6.55540657,611
Pablo Picasso,1,0.001312335958,65,0.08530183727,5.455423584,0.4363442052,5.514062643,3.991401672,6.508285999,762
Rembrandt,1,0.001288659794,92,0.118556701,5.423220418,0.4600186854,5.411207199,4.01924324,6.578178883,776
John Henry Twachtman,0,0,54,0.2523364486,5.773820409,0.324502941,5.806309223,4.646457672,6.401456356,214
William Turner,0,0,34,0.2411347518,5.736304439,0.3582138205,5.814446449,4.41410017,6.436748505,141
Ilya Mashkov,0,0,46,0.2383419689,5.697853424,0.4180414772,5.737456799,3.979321957,6.483047009,193
Lucian Freud,0,0,54,0.2307692308,5.65524863,0.4124415774,5.681154966,4.140484333,6.469254494,234
Hans Memling,0,0,30,0.1986754967,5.706405084,0.3485372967,5.69363308,4.784460068,6.461174011,151
Amedeo Modigliani,0,0,66,0.1918604651,5.739854314,0.3464634913,5.792778969,3.818417072,6.386878967,344
Anthony Van Dyck,0,0,31,0.1901840491,5.790539077,0.2720826541,5.813297272,5.019769192,6.496258259,163
Maurice Prendergast,0,0,61,0.1685082873,5.689032955,0.3160659391,5.690541744,4.716396332,6.432565689,362
Raoul Dufy,0,0,21,0.1578947368,5.658407502,0.3480663348,5.681509018,4.627257824,6.368109226,133
El Greco,0,0,25,0.1572327044,5.727915119,0.2800148437,5.75639534,4.702959538,6.273731232,159
Peter Paul Rubens,0,0,40,0.1544401544,5.706688758,0.2888585084,5.694943428,4.556738854,6.453996658,259
Thomas Gainsborough,0,0,23,0.1402439024,5.713631601,0.2949718441,5.742106438,4.755117416,6.422234058,164
Jacob Jordaens,0,0,12,0.1276595745,5.668416896,0.3004232717,5.71317482,4.747323036,6.489187241,94
Francisco Goya,0,0,26,0.1268292683,5.564239381,0.3764855364,5.595704079,4.373312473,6.400550365,205
Gustave Moreau,0,0,10,0.1204819277,5.618171933,0.3785215621,5.668231964,4.515907764,6.254385948,83
Pierre Bonnard,0,0,17,0.1197183099,5.527710505,0.4374176488,5.54844141,3.512292385,6.283234119,142
Fernando Botero,0,0,18,0.119205298,5.627322532,0.2890023879,5.620256424,4.762886524,6.267343521,151
Frans Hals,0,0,20,0.1136363636,5.719602322,0.2325200296,5.74899292,5.021342278,6.363976479,176
Koloman Moser,0,0,8,0.09411764706,5.193918138,0.6478400458,5.253678322,3.672431469,6.398860455,85
Georges Seurat,0,0,15,0.09259259259,5.547754932,0.4139861718,5.643612385,3.997249126,6.413017273,162
Paolo Veronese,0,0,12,0.09230769231,5.628114836,0.292037912,5.623792172,4.691628933,6.315429688,130
Eugene Delacroix,0,0,6,0.08,5.428768527,0.4052724278,5.420750618,4.611150742,6.270502567,75
Gustave Dore,0,0,58,0.0770252324,5.481045003,0.4029434959,5.514964104,3.885255814,6.439781189,753
Mikhail Vrubel,0,0,7,0.07368421053,5.341101531,0.4349965171,5.351522446,4.348818779,6.229477882,95
Canaletto,0,0,3,0.07142857143,5.607660487,0.3061828574,5.638386726,4.855259419,6.184331417,42
Fra Angelico,0,0,11,0.06586826347,5.603537251,0.2925470965,5.626647472,4.506530285,6.401406288,167
Michelangelo,0,0,8,0.06201550388,5.322844088,0.4423840811,5.343212128,4.190982342,6.297890663,129
Andy Warhol,0,0,6,0.05607476636,5.215472587,0.4577519195,5.218514919,3.913270474,6.296744347,107
Bartolome Esteban Murillo,0,0,9,0.05263157895,5.468826576,0.48203209,5.592205048,4.244462013,6.452132225,171
Salvador Dali,0,0,20,0.04175365344,5.168799382,0.4817087339,5.171499252,3.471055508,6.471632004,479
Ernst Ludwig Kirchner,0,0,14,0.04117647059,5.262579374,0.4657427807,5.282995701,3.954546452,6.361228466,340
Juan Gris,0,0,8,0.04081632653,5.570106599,0.2667517222,5.587167501,4.638758659,6.161596298,196
Raphael Kirchner,0,0,21,0.04069767442,5.300412161,0.4269425518,5.331265926,3.884365082,6.400113106,516
Fernand Leger,0,0,9,0.04035874439,5.272252543,0.506435527,5.376870155,3.778059959,6.425514698,223
Aubrey Beardsley,0,0,6,0.03726708075,5.38662056,0.4066601655,5.397648335,4.113458157,6.260643482,161
M.C. Escher,0,0,4,0.03174603175,5.176107437,0.5926597648,5.289166927,3.402100563,6.241222858,126
Ivan Bilibin,0,0,5,0.02923976608,5.048122063,0.6099149374,5.09840107,3.495790005,6.461176395,171
Marc Chagall,0,0,22,0.02875816993,5.010107101,0.5093519039,4.969815731,3.618714333,6.349525452,765
Mikalojus Ciurlionis,0,0,1,0.02083333333,5.496981035,0.3142647132,5.550305128,4.785728931,6.020941258,48
Georges Braque,0,0,4,0.01923076923,5.318549457,0.3640471139,5.367442369,4.42666769,6.403018475,208
Niko Pirosmani,0,0,1,0.008849557522,5.338089361,0.3287158704,5.339784622,4.386454105,6.086249828,113
Hieronymus Bosch,0,0,1,0.005494505495,5.160493712,0.3833654633,5.217955828,3.804160595,6.029177666,182
Gene Davis,0,0,0,0,5.060271134,0.4255002806,5.098944664,3.80459547,5.807443619,155
Sam Francis,0,0,0,0,4.802990125,0.2843780653,4.792360306,3.937551022,5.465871334,317